,"('solver', '')","('problem', '')","('nodecount', '')","('edges', '')","('anchors', '')","('totaliterations', '')","('population', '')","('deIteration', '')","('distFraction', '')","('optimizer', '')","('final f: ', 'mean')","('final f: ', 'std')"
172,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,1000.0,20.0,0.0,0.5,GD,2922101102530.349,0.007263934756609917
165,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,1000.0,5.0,0.0,0.5,LBFGS,2959967006473.2686,0.01661938601725345
164,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,1000.0,5.0,0.0,0.5,GD,2973248760639.426,0.0072001341735047925
281,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,0.0,0.1,LBFGS,2980467920791.381,9.458558810889456e-17
283,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,1.0,0.1,LBFGS,2980467920791.381,1.4187838216334185e-16
273,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,0.0,0.1,LBFGS,2980467920791.3813,2.3803517672828923e-16
275,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,1.0,0.1,LBFGS,2980467920791.382,1.1584321394392586e-16
277,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,4.0,0.1,LBFGS,2980467920791.382,1.8917117621778907e-16
285,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,4.0,0.1,LBFGS,2980467920791.382,1.63827044268388e-16
271,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,1.0,0.0,0.1,LBFGS,2980467920791.3823,3.276540885367759e-16
280,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,0.0,0.1,GD,2980467920791.456,1.162389791215953e-14
272,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,0.0,0.1,GD,2980467920791.6055,4.656173524461355e-14
270,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,1.0,0.0,0.1,GD,2980467920792.73,4.1100566458629395e-13
495,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,45000.0,0.1,LBFGS,2980467920794.71,4.915511547764755e-13
263,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,20.0,0.0,0.1,LBFGS,2980467920795.2173,6.816411408948464e-13
255,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,5.0,0.0,0.1,LBFGS,2980467920806.5127,5.4030150848576335e-12
493,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,45000.0,0.1,LBFGS,2980467920808.997,6.864910990376657e-12
253,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,1.0,0.0,0.1,LBFGS,2980467921046.294,1.3423146958151123e-10
282,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,1.0,0.1,GD,2980467922276.6943,2.905641818053821e-10
274,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,1.0,0.1,GD,2980467925311.1587,9.352776615823932e-10
287,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,19.0,0.1,LBFGS,2980468173475.2114,2.773122577829125e-08
279,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,19.0,0.1,LBFGS,2980468354658.781,5.970520175524087e-08
265,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,20.0,1.0,0.1,LBFGS,2980468424499.518,5.75020205967804e-08
284,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,4.0,0.1,GD,2980469377883.906,2.471081999620402e-07
257,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,5.0,1.0,0.1,LBFGS,2980469877150.1016,4.473912337870849e-07
276,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,4.0,0.1,GD,2980470869250.302,3.1455375655939346e-07
262,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,20.0,0.0,0.1,GD,2980524261237.8804,3.712499389498236e-06
494,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,319.0,100.0,50000.0,20.0,45000.0,0.1,GD,2980524261237.882,3.712499389630224e-06
254,OPTIMIZER_MIN_DE,3DRandom1,100.0,319.0,100.0,5000.0,5.0,0.0,0.1,GD,2980553312146.8047,4.862952144575393e-06
492,OPTIMIZER_MIN_INIT_DE,3DRandom1,100.0,319.0,100.0,50000.0,5.0,45000.0,0.1,GD,2980553312148.9385,4.862953520639028e-06
